%SOC start, 50.0
time,C_rate
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0.27754
22,0.51125
23,0.79711
24,1.0336
25,1.2032
26,0.32326
27,0.53671
28,1.5289
29,0.77208
30,0.61881
31,0.24213
32,-0.090078
33,-0.22058
34,-0.21609
35,-0.14951
36,-0.20754
37,-1.4942
38,-0.93478
39,0.10577
40,0.2383
41,0.24346
42,0.34056
43,0.63685
44,1.1386
45,1.2755
46,1.1633
47,0.31349
48,0.045223
49,0.11158
50,-0.69328
51,-1.2882
52,-0.92843
53,-0.53451
54,0.11332
55,1.0034
56,1.232
57,1.2062
58,1.1921
59,0.87211
60,0.48225
61,0.41857
62,0.277
63,-0.092171
64,0.12682
65,0.3439
66,0.27412
67,0.1285
68,0.12766
69,0.19975
70,0.56444
71,0.57758
72,0.2872
73,-0.016121
74,-0.16759
75,0.277
76,0.50082
77,0.66081
78,0.21603
79,-0.015233
80,0.51727
81,0.68154
82,0.85779
83,1.1313
84,0.84204
85,0.69207
86,0.52952
87,0.53629
88,0.54311
89,0.2769
90,0.094852
91,0.18367
92,0.18257
93,0.36116
94,0.63324
95,-0.086975
96,-0.17796
97,-0.088789
98,0.52279
99,0.70623
100,0.63067
101,0.45895
102,0.37133
103,0.18922
104,-0.17837
105,-0.2681
106,0.35281
107,0.53177
108,0.71764
109,0.73202
110,0.83902
111,0.66979
112,0.48947
113,0.10937
114,-0.17883
115,-2.6225
116,-2.5498
117,-2.2676
118,-1.981
119,-1.6906
120,-1.3968
121,-1.1004
122,-0.80195
123,-0.50191
124,-0.12916
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0.34445
165,0.68947
166,1.0356
167,1.3835
168,1.7337
169,1.5585
170,1.5559
171,1.2771
172,0.67263
173,-0.32709
174,-0.24472
175,-0.092204
176,0.42059
177,0.35257
178,0.35607
179,0.5102
180,1.2846
181,-0.33389
182,-1.7422
183,-0.73205
184,-2.0422
185,-0.83214
186,-0.13245
187,0.58445
188,0.4019
189,0.91025
190,1.456
191,1.6875
192,2.2326
193,2.822
194,2.987
195,3
196,1.5427
197,2.5929
198,1.8158
199,2.3619
200,2.2204
201,2.5661
202,1.7415
203,1.6499
204,1.5491
205,0.59483
206,0.31316
207,0.44969
208,0.3076
209,0.58264
210,0.58264
211,0.58264
212,0.58264
213,0.86135
214,0.86738
215,1.2951
216,1.4568
217,1.4826
218,1.2174
219,1.3793
220,1.5481
221,1.2748
222,1.4416
223,1.7682
224,2.2666
225,2.1672
226,1.5762
227,1.2749
228,0.9612
229,0.63842
230,0.3101
231,0.78928
232,1.113
233,1.2828
234,1.458
235,1.1461
236,1.4838
237,1.1685
238,1.3429
239,1.0196
240,0.85497
241,0.51875
242,0.84854
243,0.84854
244,0.84854
245,0.84854
246,0.84854
247,0.68103
248,0.34368
249,0.3368
250,-0.33177
251,-0.012278
252,0.14173
253,0.45581
254,0.2909
255,0.60309
256,1.2361
257,0.92805
258,0.93133
259,0.77421
260,0.293
261,0.12722
262,0.12016
263,0.11325
264,-0.049485
265,1.1795
266,0.10313
267,0.55908
268,0.40269
269,0.39828
270,0.85199
271,1.0081
272,1.1684
273,1.334
274,1.5057
275,1.5275
276,1.5495
277,2.2122
278,1.6123
279,1.1424
280,1.4795
281,0.83264
282,0.50056
283,-0.16633
284,-0.33801
285,-0.66806
286,-0.98877
287,-0.82916
288,0.6993
289,0.6993
290,0.088519
291,-0.82681
292,0.51274
293,0.80688
294,0.51274
295,0.065642
296,0.50103
297,0.64548
298,0.64548
299,0.058419
300,-0.092795
301,-0.098181
302,-0.67383
303,-0.9519
304,-0.94234
305,-1.0653
306,-1.0493
307,-0.90606
308,-1.0159
309,-1.714
310,-1.3096
311,-1.5988
312,-1.1158
313,-0.97991
314,-0.66061
315,-0.55227
316,0.18477
317,-0.17805
318,-0.6223
319,-1.036
